รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
57030000,สพป.เชียงราย เขต 3,57030067,บ้านไร่,2,2,4,1,2,4,6,1,5,5,10,1,9,11,20,3,5,3,8,1,7,7,14,1,5,5,10,1,3,8,11,1,11,8,19,1,2,5,7,1,33,36,69,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,47,89,9
57030000,สพป.เชียงราย เขต 3,57030070,บ้านดอยจัน,0,0,0,0,9,11,20,1,5,11,16,1,14,22,36,2,17,22,39,1,12,12,24,1,10,13,23,1,14,5,19,1,9,20,29,1,15,16,31,1,77,88,165,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,110,201,8
57030000,สพป.เชียงราย เขต 3,57030071,โยนกวิทยา,0,0,0,0,1,1,2,1,2,0,2,1,3,1,4,2,4,0,4,1,1,1,2,1,4,2,6,1,2,2,4,1,1,3,4,1,6,4,10,1,18,12,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,34,8
57030000,สพป.เชียงราย เขต 3,57030072,บ้านทุ่งฟ้าฮ่าม,0,0,0,0,1,0,1,1,2,0,2,1,3,0,3,2,0,3,3,1,0,1,1,1,0,0,0,0,1,1,2,1,2,0,2,1,0,0,0,0,3,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,6
57030000,สพป.เชียงราย เขต 3,57030073,บ้านสันธาตุ,0,0,0,0,3,3,6,1,1,5,6,1,4,8,12,2,7,6,13,1,5,9,14,1,15,18,33,1,7,8,15,1,12,9,21,1,7,6,13,1,53,56,109,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,64,121,8
57030000,สพป.เชียงราย เขต 3,57030074,บ้านสบคำ,0,0,0,0,5,6,11,1,10,11,21,1,15,17,32,2,15,8,23,1,8,5,13,1,9,4,13,1,13,6,19,1,6,12,18,1,5,10,15,1,56,45,101,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,62,133,8
57030000,สพป.เชียงราย เขต 3,57030075,ราชประชานุเคราะห์ 15(เวียงเก่าแสนภูวิทยาประสาท),1,1,2,1,5,2,7,1,7,6,13,1,13,9,22,3,16,6,22,1,12,20,32,2,21,22,43,2,24,30,54,2,38,22,60,3,39,43,82,4,150,143,293,14,114,99,213,6,83,85,168,5,83,85,168,5,280,269,549,16,67,71,138,5,78,72,150,5,87,100,187,6,0,0,0,0,0,0,0,0,0,0,0,0,232,243,475,16,675,664,1339,49
57030000,สพป.เชียงราย เขต 3,57030076,บ้านสบรวก,0,0,0,0,6,13,19,1,11,8,19,1,17,21,38,2,34,12,46,2,11,7,18,1,11,7,18,1,8,5,13,1,11,11,22,1,14,5,19,1,89,47,136,7,9,0,9,1,4,5,9,1,2,3,5,1,15,8,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,76,197,12
57030000,สพป.เชียงราย เขต 3,57030078,บ้านห้วยเกี๋ยง,0,0,0,0,6,14,20,1,15,7,22,1,21,21,42,2,22,17,39,1,13,19,32,1,13,18,31,1,14,16,30,1,10,21,31,1,18,16,34,1,90,107,197,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,128,239,8
57030000,สพป.เชียงราย เขต 3,57030080,บ้านเวียงแก้ว,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17,1,2,3,5,1,2,7,9,1,2,6,8,1,1,5,6,1,4,0,4,1,20,29,49,6,2,3,5,1,6,8,14,1,5,4,9,1,13,15,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,44,77,9
